run_id,timestamp,git_commit,device,experiment,model,loss,alpha,corr_threshold,seed,fold,val_users,n_params,n_train_windows,epochs,train_mse,train_pearson,train_loss,minutes_train,resumed,score_macro,score_micro,score_std,n_sessions,n_negative,minutes_score,test_ghij_macro
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,TONG,ABCDEFKL,38105,,20,,,,,,0.7578552607454675,,0.09352606749587843,4,,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_AB,AB,38105,210964,20,0.02079576092343105,0.5778153393082016,0.02079576092343105,7.74,0,0.7954657192439054,0.8000172641252538,,380,9,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_CE,CE,38105,218920,20,0.022099418250108298,0.5884928685536478,0.022099418250108298,8.08,0,0.7805152598697644,0.7683052978387571,,337,15,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_DF,DF,38105,230152,20,0.024284492465591046,0.6386365107125231,0.024284492465591046,8.4,0,0.6027316024192613,0.5668214955530272,,308,42,,
ds_tcn_c64_k5_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_KL,KL,38105,218088,20,0.021290878285959956,0.583159314748337,0.021290878285959956,7.92,0,0.8527084614489387,0.8566345021098017,,264,4,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,TONG,ABCDEFKL,39129,,20,,,,,,0.743657095453822,,0.09583226485369807,4,,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_AB,AB,39129,210964,20,0.019946389656326367,0.588448903896536,0.019946389656326367,7.58,0,0.7892442252419967,0.7945033146647859,,380,11,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_CE,CE,39129,218920,20,0.02123879524042029,0.5985689358521679,0.02123879524042029,7.92,0,0.7794378007378778,0.7696895954912143,,337,11,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_DF,DF,39129,230152,20,0.023362915253891718,0.645553876426043,0.023362915253891718,8.31,0,0.5803630552058399,0.5349926892665956,,308,44,,
ds_tcn_c64_k7_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_KL,KL,39129,218088,20,0.0205163847058771,0.5915727301767455,0.0205163847058771,7.83,0,0.8255833006295739,0.8317406859106914,,264,8,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_tong,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,TONG,ABCDEFKL,40153,,20,,,,,,0.7369696975073188,,0.08985333727824073,4,,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_AB,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_AB,AB,40153,210964,20,0.018667482311956297,0.604570678220867,0.018667482311956297,7.67,0,0.7929070854897944,0.7966275600887857,,380,10,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_CE,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_CE,CE,40153,218920,20,0.019618156520680826,0.615573114398905,0.019618156520680826,8.01,0,0.7860290347813774,0.7733076713660196,,337,16,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_DF,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_DF,DF,40153,230152,20,0.021664313258681407,0.6596861655906998,0.021664313258681407,8.4,0,0.581402128093564,0.5443371348586953,,308,46,,
ds_tcn_c64_k9_n4_none_do0.2_dpel_mse_corr0.9_seed0_val_KL,,85ccc08,,tn2_rf,ds_tcn,mse,1.0,0.9,0,val_KL,KL,40153,218088,20,0.019299007353603518,0.6054155568509174,0.019299007353603518,7.95,0,0.7875405416645391,0.7985641148724132,,264,14,,
